id,attribute_ids
1008abd71f3ed5bc,70 1046
100e1e65a6d7850e,1046
100efeead4d0f90c,949
101c55520bafa9f0,501
101f35d791be34cb,439
10245fc5f0c1bc53,501
102c9239c03b183,448
103afcfbd66b7564,949
104468f87dfe4aee,949
104db9cd6f85f477,1046
10584f896b8df034,765
105c132184cb8cc5,1041
1060d1d2c5dcbbb1,289
1061c7940c7bc80d,519
106435dcb8cac360,1046
1066458a03e2306b,1046
1067ade04b904fe4,949
106bd87f14a2b633,949
106d7ecf197d60c1,1046
1072e294c63d72f,501 1046
107913f4da228989,1046
1079f1e9087407d5,501
1083f4a7090a9fb3,761
10877325e4f7c4aa,1046
108865aaab8c0b63,1046
108fd352128d4440,1046
1092d76599f29b85,1046
10984ac8d2c0e354,70
109fd3225d347aa,1046
10a07f974955e989,497
10a4cf14858bf51a,501 519 1041
10a5ff981c5f7834,949
10a6a71370173804,1046
10a8428234789f20,501 519
10ad7538542018a3,501
10b1c862212bc598,1046
10b509bc34be6e3c,949
10b56bfde7f3bccf,689
10b5ef8e9556d784,916
10b72245402fc099,432
10ba350adbe4f9c4,1046
10bacab36086b3a7,1046
10c5b7c3f05e813d,602
10c794395494a108,1046
10c7a143a6ad8f9d,519
10ccf9c1e085a3e0,497
10d7ec63a417f39,781
10d95b008ef31b7f,448
10da4fbca0fdfa85,1046
10e61c5f0287989b,949
10e940311ed654f6,519
10e98c09b0d19fdc,501 519
10eb71ce135652c9,70
10f31be59a446685,1046
10f45e413e7b7709,534
10fc2f111037514b,44
1103c185f14d21d8,70 501
1109f4ddd841c62d,916
110a7e9442f01c50,501 1046
1113c72fe9b495c2,1046
1115a481d82334f1,1046
11185f3e8e7ea2b9,519
111980554af57649,519 1046
112841833d8dad72,501
1129de51de66c8bf,501
112d92e7710410ce,1046
112dfa1a8e34946e,1046
112e0a43c96623d5,1046
112f115154a0cf68,1046
1130ad38861ceae1,1046
1132d332fedae532,949
1139ea243c5e706e,1046
1141592cf29518cf,501
1153e7edce47b7cc,1046
115a3b3e9c2fa0da,949
1161dbb00016aad2,1046
11697a6044e5648e,70
116e92e4ffe8de4b,602 1046
116f312b0c7cc234,949 1046
1171b15ad68ca969,1022
11756757cd082be,501 1046
11783eefe40b075f,949
118504f6c870acdb,949
1185ce199419ff00,1046
118ad1261e17b93b,1046
118b70aee6cb21b1,949
1190845b31ad48db,1046
11930791bf87da5c,1046
1193e10095ab43b0,497
11992b3ab2a359e2,949
11a1b82a2ece5e9a,497
11ab6021b4316ea1,70
11ac77723bbf78a4,501
11b462b939f06bb4,916
11bb24eb45cfe7a4,864
11c1e0f521120852,832
11c969c24f771672,519
11dca2a4c72f5946,1046
11debb30d45f0dff,1046
11e01db89e8ef85b,1046
11e8f0f49af21c9c,70 1046
11eb03b99a96d289,916
11ec7791f177f812,949
11ed6cd579ecaea8,536
11ed7c3c6b86bf60,448
11ff86e74ceb0a95,411
12016b17608ad589,949
1207d754bd632aac,70 1046
1208b3aa536af605,70
12094f3e5d2abf27,1046
1209fbce7aa42bb1,70
120b1ff5670402b9,501
120c81a0e0bdfbb,96
1216a9bb3cdc6b1b,761
121f85bb631ae733,497
1227db1351d9aaec,1046
122c1019d1a04a43,1046
12313f2b6a2da3d4,501
1235646e7b3d9808,70
12371b9bfe04bc6f,501
123b3a1ff4b34315,864
123c203b032afefc,1096
123eb092e72985a9,916
123f1f89708c4b43,949
124151a6d952a91a,1046
124b864310911391,501
1250dbb7fd8a6626,447
1258e2c17dfaf87f,1046
125e72b5d14b731d,501
125f68a83ec52a33,497
125fd5d656deefc4,832
1260eb55a15e0743,1046
1266c418adbe2e76,501
1267d94fafd1c70b,949
126be4d44b7e807d,534
1276ea439db772ab,1046
127a1b7ef9b87582,70
1282c881f2b21ab6,501
1286c6413e1f7d3f,916
128aaa66c4ab1d8,1046
128d5ef606d4f11e,1046
128fa46a1e2f0eed,949
128fd2b361624cbc,949
129fede7805ffc4b,501
12a21a337c2e1872,96
12a8dbea39b73512,534
12aa02b7d7c3e199,1046
12b0975b07b91fa6,1046
12b21d1dae70251f,1046
12b6365f1de8aecd,1046
12b6e8cfe5bb662e,447
12b7bde1a9c2bb9a,534
12ba8dc8943574bd,949
12bc612e155ee4d0,501
12bc6c8e52c4397e,949
12bc7a1bc87800aa,448
12c040ec6c9573bb,949
12c13e4d72a14ea9,70 1046
12cb7cff11b92baa,1046
12cf1f50ad0b9fbd,1046
12da56d48717299e,949
12dc1620f6e31597,501 519
12e12a4c057714bf,501 1046
12e1968e4dfdf963,1046
130324781bf7c47c,1046
1304419c938c46d4,1046
1304f70ac72faab1,70
130a229f8473cf2a,1046
130bc25329ed589b,1046
1317f8cc4d89e2db,501
131a1dd357311d01,1046
131ff43e5b419a6d,534
1323a9b0094140b0,501 1046
13243ceef7021bba,1046
132d0c0da30daec8,70
132dcfd007ca7e54,501 519
1336a006596d96fe,1096
1337656dfa9c8ec3,949
133aeab1ced09531,289
133aecac00920d10,1046
133bb81573cbae1b,949
134280b04598dc67,1046
1347170fdce46796,1022
134915c4efd779e9,519
134c8247237eaf90,1046
1352bf464548a2f4,916
1357c31db9fd4918,1046
135f1a4dd454961b,70 501
13613c708ac884ce,534
136924dc2cb93f55,497
136d77f73f364233,1046
136e0c7668090804,916
1373fab62810d51c,1046
137ac9c13167b2ab,876
137d3bb37af11f3b,289
1383dcbeead091a3,501
138b1d0ebbbd8830,864
139325da721fb714,1046
1397ec86c43387ad,1046
13992b9e8249b6ec,501
139d46abb26c8020,501 1046
139e2315aafbad9f,519
13a799e3be10c53b,70 1041
13abf7657a2f8132,1046
13acd7a21ee6402,1046
13c2b369423fb440,888
13ca46c56a0f6c00,832
13d4312a5d429bc4,1022
13d64cad05bb8279,519
13deaa623ac5604,1046
13e40a640800b08c,501
13e88855f80221e2,501
13ec5083498a7a57,949
13ee701a9ac2169b,1046
13eff2d99743ffc6,1046
13fd150ecb670ac6,888
14050343e172a06d,1046
141351230a9c449,689
1421287f61358cb0,70
142245a1ec9fad18,1046
