attribute_id,attribute_name
309,culture::saint-cloud
1041,tag::towns
381,culture::verona
497,tag::buddha
551,tag::clocks
832,tag::music
96,culture::crete
289,culture::philippine
949,tag::saints
101,culture::czech
1096,tag::wreaths
70,culture::central european
1022,tag::tables
481,tag::bobbins
439,tag::arrows
876,tag::performance
294,culture::portuguese
328,culture::skyros
432,tag::architectural elements
141,culture::for portuguese market
761,tag::jupiter
458,tag::basins
864,tag::palmettes
1000,tag::squirrels
888,tag::playing cards
916,tag::reading
536,tag::chests
361,culture::tiwanaku
855,tag::olive trees
398,tag::abbies
447,tag::avalokiteshvara
209,culture::lille
501,tag::buildings
781,tag::leda
911,tag::qur'an
411,tag::air transports
689,tag::gardeners
697,tag::gingham pattern
44,culture::boeotian
534,tag::chariots
765,tag::kitchens
334,culture::southern german
694,tag::genre scene
602,tag::deserts
519,tag::carriages
467,tag::bedrooms
1046,tag::trees
618,tag::dolphins
448,tag::axes
918,tag::religious events
